iteration,time_(s),algorithm
23,0.03,efficient
24,0.03,efficient
25,0.03,efficient
26,0.02,efficient
27,0.03,efficient
28,0.03,efficient
29,0.03,efficient
30,0.03,efficient
31,0.02,efficient
32,0.03,efficient
33,0.03,efficient
34,0.02,efficient
35,0.03,efficient
36,0.03,efficient
37,0.02,efficient
38,0.03,efficient
39,0.02,efficient
40,0.03,efficient
41,0.03,efficient
42,0.04,efficient
43,0.02,efficient
44,0.03,efficient
23,0.04,inefficient
24,0.04,inefficient
25,0.06,inefficient
26,0.07,inefficient
27,0.1,inefficient
28,0.14,inefficient
29,0.22,inefficient
30,0.32,inefficient
31,0.52,inefficient
32,0.83,inefficient
33,1.27,inefficient
34,2.07,inefficient
35,3.33,inefficient
36,5.47,inefficient
37,8.47,inefficient
38,14.1,inefficient
39,22.53,inefficient
40,35.86,inefficient
41,59.04,inefficient
42,94.18,inefficient
43,154.17,inefficient
44,248.35,inefficient
